iter	Passed	Remaining
0	7	746
1	15	740
2	22	720
3	30	730
4	37	712
5	38	609
6	46	618
7	48	559
8	56	568
9	64	576
10	70	572
11	78	573
12	84	568
13	92	570
14	99	564
15	100	529
16	108	531
17	115	527
18	123	525
19	130	520
20	137	516
21	144	512
22	148	495
23	155	492
24	162	486
25	168	480
26	176	475
27	182	469
28	190	465
29	197	459
30	204	455
31	211	450
32	219	444
33	226	440
34	227	422
35	228	405
36	236	402
37	243	397
38	251	392
39	258	387
40	265	382
41	273	377
42	279	370
43	287	365
44	294	360
45	303	356
46	310	350
47	318	345
48	325	338
49	333	333
50	340	326
51	347	321
52	354	314
53	361	307
54	361	296
55	368	289
56	375	283
57	383	277
58	390	271
59	398	265
60	405	259
61	413	253
62	419	246
63	426	239
64	433	233
65	440	226
66	447	220
67	454	213
68	461	207
69	468	200
70	475	194
71	482	187
72	489	180
73	497	174
74	503	167
75	511	161
76	517	154
77	525	148
78	532	141
79	539	134
80	546	128
81	553	121
82	561	114
83	567	108
84	575	101
85	582	94
86	588	87
87	596	81
88	603	74
89	611	67
90	617	61
91	625	54
92	632	47
93	640	40
94	646	34
95	653	27
96	661	20
97	667	13
98	675	6
99	682	0
